,Name,Domain,Year founded,Industry,Size range,Locality,Linkedin url,Current employee estimate,Total employee estimate
2010,Peter,NA,2010,KAIA,192.127.22.52,PO Box 18330,3.11.155.142,11,61
1993,Morris,NA,1993,KGXY,90.160.72.124,2nd Floor,126.114.217.37,9,88
2011,Vin,AF,2011,,195.100.117.64,Suite 99,98.116.161.40,32,62
1992,Anatol,AS,1992,RJSI,106.162.3.239,Room 1730,95.140.205.153,96,46
2012,Warde,NA,2012,KANW,134.193.128.135,PO Box 56413,157.161.190.56,85,59
2004,Burg,NA,2004,KHYS,252.252.228.7,Apt 654,66.1.81.88,51,2
1994,Onida,SA,1994,SPQU,124.47.60.186,3rd Floor,86.147.174.99,99,11
1996,Zebulon,NA,1996,,125.225.168.183,15th Floor,24.189.255.6,83,60
2000,Kenna,NA,2000,KRMG,69.96.126.88,Room 1711,59.81.238.59,87,74
1993,Nataniel,AF,1993,FYAA,161.239.39.210,PO Box 61112,209.80.34.113,35,10
2011,Mara,EU,2011,EGEL,90.175.189.90,Room 501,42.68.1.64,74,55
1995,Jennette,SA,1995,SKAD,204.144.241.41,15th Floor,231.248.35.80,30,7
2009,Cynthie,AF,2009,FZMB,204.103.27.3,PO Box 8285,14.212.220.122,43,18
1995,Tedman,SA,1995,SPTN,163.48.149.19,10th Floor,36.38.20.204,70,47
1993,Eve,AF,1993,DNZA,48.139.90.165,Room 567,78.183.169.113,24,79
1996,Erinna,NA,1996,KSIV,119.93.207.148,Apt 1194,178.215.49.124,13,79
1986,Gypsy,AF,1986,FKKM,118.53.52.83,15th Floor,105.215.131.201,98,27
1999,Franciska,SA,1999,SBTL,157.205.137.16,5th Floor,111.114.106.56,92,51
1988,Louisa,NA,1988,,155.108.250.165,Apt 145,241.236.80.174,38,52
2007,Ange,AS,2007,ZBLL,74.236.142.230,PO Box 26330,103.193.145.248,88,33
1998,Noe,NA,1998,KTYR,139.213.107.111,PO Box 59881,222.114.216.210,96,22
2001,Phillie,AF,2001,FNMA,221.2.25.102,Apt 787,197.230.131.78,84,72
2012,Kizzie,NA,2012,,107.156.149.56,Suite 2,219.153.88.128,13,99
1994,Burt,NA,1994,CZEM,11.92.47.216,Apt 829,222.166.64.127,52,30
2005,Jordan,AS,2005,RPMQ,40.47.129.127,Suite 36,20.21.130.61,21,7
2005,Fred,NA,2005,3IS8,125.229.119.252,4th Floor,27.179.165.145,63,15
1989,Lianne,SA,1989,SVPC,51.76.81.75,PO Box 84817,42.212.187.143,60,62
1993,Karlene,NA,1993,KSTS,105.24.70.165,Suite 16,163.13.30.205,81,17
2010,Curry,AS,2010,OORQ,212.183.132.71,18th Floor,53.85.184.164,37,91
2009,Eddy,NA,2009,,203.168.235.75,Suite 12,136.229.105.144,86,42
1992,Jobyna,EU,1992,LYTV,55.247.15.11,Room 554,119.14.100.242,62,89
2011,Matelda,EU,2011,EFTU,177.106.118.119,Apt 737,75.193.60.232,88,69
2006,Dani,NA,2006,,245.178.192.44,Apt 1004,254.206.13.23,28,39
2009,Aldridge,NA,2009,KDGL,127.143.52.30,Apt 97,60.237.30.63,99,99
2008,Almeda,NA,2008,,70.214.237.123,20th Floor,98.44.55.222,46,97
2005,Bryant,EU,2005,,61.181.68.234,Room 1027,60.218.42.176,47,44
1995,Hortense,AS,1995,VCCH,103.126.3.190,Apt 343,6.185.84.117,81,67
2007,Brander,EU,2007,ULAS,39.117.247.215,PO Box 11411,28.105.194.98,40,13
1986,Kenn,NA,1986,MWCB,115.227.51.112,Room 404,109.121.173.48,39,90
2012,Vivianna,NA,2012,PAEW,240.73.82.145,PO Box 19955,243.65.163.169,11,36
1993,Leupold,OC,1993,AYDR,99.182.190.213,Room 886,26.113.165.45,36,34
1990,Jody,SA,1990,SAAC,109.138.127.193,13th Floor,11.68.32.44,14,14
2008,Kira,NA,2008,KDGL,116.208.110.150,Suite 95,162.203.92.145,46,84
2005,Vernon,OC,2005,PLWN,61.222.248.81,13th Floor,98.157.163.248,18,25
2010,Titus,NA,2010,CYMX,14.85.125.199,PO Box 73587,179.73.97.190,93,89
2004,Roman,EU,2004,,104.46.158.143,PO Box 9521,158.54.221.157,75,82
1996,Cele,AS,1996,VVTS,227.91.126.229,Suite 96,224.135.124.150,38,3
1999,Elvira,AS,1999,UATE,198.162.26.169,Suite 49,209.83.175.120,70,1
2007,Rossy,SA,2007,SAWG,195.230.195.217,6th Floor,145.173.237.201,91,18
2005,Janet,OC,2005,YGTH,100.10.112.162,Apt 427,34.36.23.121,85,9
2001,Frank,NA,2001,KALB,230.75.142.203,5th Floor,90.255.56.18,30,5
2002,Tann,NA,2002,KTVC,104.44.111.56,Apt 688,10.233.207.246,17,98
2000,Arielle,AF,2000,DNGO,2.125.176.229,4th Floor,242.10.77.109,34,25
2008,Knox,NA,2008,KNEN,148.195.53.74,Room 1465,207.244.60.30,91,22
2002,Maury,NA,2002,KMSV,138.115.223.28,Apt 1265,184.186.45.72,15,23
2003,Sybille,AF,2003,FZAA,186.128.157.188,PO Box 51804,50.119.36.193,15,51
1992,Joachim,NA,1992,TJFA,216.113.115.219,PO Box 59027,138.239.68.18,55,14
2000,Rubia,SA,2000,,108.207.39.211,18th Floor,219.236.144.127,97,29
2005,Towny,AF,2005,FZOA,62.194.221.3,PO Box 49409,196.244.137.204,30,21
1998,Kaila,NA,1998,CYCZ,245.220.148.196,12th Floor,182.54.146.145,35,94
2009,Babita,OC,2009,NVVA,201.155.212.192,PO Box 84073,248.135.31.172,74,29
1985,Kerwinn,AS,1985,RKTN,192.54.76.125,Apt 478,128.253.188.116,40,64
1993,Berk,NA,1993,PAPM,237.91.173.149,PO Box 88451,28.195.100.53,19,17
1996,Seline,NA,1996,KHSE,114.195.85.17,Suite 10,151.23.208.22,67,89
2011,Marje,SA,2011,,40.173.54.161,Apt 1197,114.92.179.21,12,70
2002,Gloriane,OC,2002,YGAY,203.186.184.61,Suite 89,95.225.27.73,63,11
1987,Leila,NA,1987,MWCB,104.188.165.54,Apt 1603,120.186.46.98,98,1
2000,Niels,OC,2000,YDDF,222.68.220.31,18th Floor,21.100.142.100,2,88
1983,Chantal,AF,1983,FAEM,21.68.142.162,Suite 64,87.143.100.97,19,24
2011,Arlan,NA,2011,,190.44.222.54,Room 959,229.184.151.77,65,47
2003,Kirbee,NA,2003,KMFI,2.229.2.130,Apt 1420,98.154.73.177,8,81
2011,Samuel,EU,2011,LFQT,16.218.58.245,20th Floor,151.242.201.41,35,30
2009,Clywd,NA,2009,KAEX,106.230.19.1,Suite 47,49.191.63.81,5,87
